object_id,symbol,instance,field_id,field,type,role,initialization,writer/reset,reader,meaning,clear/invalidation,protection,evidence_ids
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-RECOVERY-MISSION,planner_recovery_mission_id_,string,episode identity,empty,completed endpoint identity; clear helper,plannerRecoveryEpisodeMatchesLocked,mission identity for endpoint exception,clear helper/lifecycle,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-RECOVERY-WAYPOINT,planner_recovery_waypoint_index_,uint32,episode identity,0,completed endpoint identity; clear helper,plannerRecoveryEpisodeMatchesLocked,waypoint identity for endpoint exception,clear helper/lifecycle,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-RECOVERY-REQUEST,planner_recovery_request_id_,uint64,episode identity,0,completed endpoint identity; clear helper,plannerRecoveryEpisodeMatchesLocked,request identity for endpoint exception,clear helper/lifecycle,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-RECOVERY-GENERATION,planner_recovery_bundle_generation_,uint64,episode identity/version,0,completed endpoint identity; clear helper,plannerRecoveryEpisodeMatchesLocked,bundle generation for endpoint exception,clear helper/lifecycle,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-FAILURE-REPORTED,failure_reported_,bool,adapter fail latch,false,command/health/lease failure; lifecycle reset,command/mission early-return gates,adapter safety failure was reported,activation/reset,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-MODE-ACTIVE,mode_active_,bool,lifecycle authority,false,onActivate/onDeactivate,command/mission/setpoint ownership,adapter mode lifecycle active,deactivation,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-MISSION-TERMINAL,mission_terminal_,bool,mission terminal latch,false,mission completion/handover; activation reset,mission update and command acceptance,adapter mission terminal latch; separate from MissionController::state_ == Complete and PX4 Hold confirmation,new activation/reset,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-HANDOVER-REQUESTED,handover_requested_,bool,authority handover latch,false,safetyStopNavigation/terminal transition; lifecycle reset,command/updateMission early return and Hold request,PX4 Hold handover requested,lifecycle/operator/mode reset,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-SUFFIX-HANDOFF,safety_suffix_handoff_pending_,bool,handoff latch,false,eligible retained BACKUP goal transition; clear on current command/stop/lifecycle,command identity and suffix lease guard,exact prior BACKUP may bridge mission waypoint advance,first current command/safety handover/lifecycle,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-SUFFIX-WAYPOINT,safety_suffix_waypoint_index_,uint32,handoff identity,0,set with retained BACKUP; clear helper,command transition guard,waypoint key of retained suffix,clear helper,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-ADAPTER,px4_navigation_external_mode::NavigationMode,one lifecycle-owned NavigationMode adapter instance,F-SUFFIX-REQUEST,safety_suffix_request_id_,uint64,handoff identity,0,set with retained BACKUP; clear helper,command transition guard,request key of retained suffix,clear helper,mutually exclusive command/timer group; MissionController mutex; trajectory_mutex for cache,ev-adapter-fields;ev-adapter-command;ev-adapter-mission;ev-adapter-deadline;ev-adapter-test;ev-mission-test
O-HOLD,px4_navigation_external_mode::NavigationModeExecutor,executor-owned mode executor,F-HOLD-CONFIRMED,px4_hold_confirmed_,bool,external status observation,false,VehicleStatus AUTO_LOITER only; lifecycle clears,retry guard and authority view,"observed PX4 AUTO_LOITER, not API result",activation/deactivation,owned-mode callback/timer/status path,ev-adapter-fields;ev-adapter-hold;ev-adapter-hold-callback;ev-external-test
O-HOLD,px4_navigation_external_mode::NavigationModeExecutor,executor-owned mode executor,F-HOLD-PENDING,hold_handover_pending_,bool,handover request latch,false,schedulePx4Hold sets; Success/Deactivated clears; Failure keeps,checkHoldHandover,Hold request awaits disposition,Success/Deactivated/VehicleStatus/lifecycle,owned-mode callback/timer/status path,ev-adapter-fields;ev-adapter-hold;ev-adapter-hold-callback;ev-external-test
O-HOLD,px4_navigation_external_mode::NavigationModeExecutor,executor-owned mode executor,F-HOLD-IN-FLIGHT,hold_handover_in_flight_,bool,operation lifecycle,false,schedulePx4Hold sets; callback/status/lifecycle clears,prevents duplicate scheduled request,one scheduleMode operation awaits callback,callback/status/lifecycle,owned-mode callback/timer/status path,ev-adapter-fields;ev-adapter-hold;ev-adapter-hold-callback;ev-external-test
O-HOLD,px4_navigation_external_mode::NavigationModeExecutor,executor-owned mode executor,F-HOLD-FAILURE-CONTEXT,hold_handover_complete_navigation_failure_,bool,operation context latch,false,request accumulates failure reason; lifecycle clears,hold completion handling,records completion follows navigation failure,lifecycle,owned-mode callback/timer/status path,ev-adapter-fields;ev-adapter-hold;ev-adapter-hold-callback;ev-external-test
O-HOLD,px4_navigation_external_mode::NavigationModeExecutor,executor-owned mode executor,F-HOLD-ATTEMPTS,hold_handover_attempts_,uint32,counter,0,each schedulePx4Hold; lifecycle clears,diagnostic logging,number of adapter Hold scheduling attempts,activation/deactivation,owned-mode callback/timer/status path,ev-adapter-fields;ev-adapter-hold;ev-adapter-hold-callback;ev-external-test
O-HOLD,px4_navigation_external_mode::NavigationModeExecutor,executor-owned mode executor,F-HOLD-RETRY,hold_handover_next_retry_steady_ns_,int64 steady ns,deadline,0,Failure callback sets now+250ms; lifecycle clears,checkHoldHandover,next retry time after failed API result,activation/deactivation/new attempt,owned-mode callback/timer/status path,ev-adapter-fields;ev-adapter-hold;ev-adapter-hold-callback;ev-external-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-MISSION-STATE,state_,MissionControllerState,mission progress authority,Idle,activate/update/onTrajectory/stop/recovery,state switch and mission event output,mission phase distinct from runtime ExecutionEpisode phase,activate/deactivate/terminal transitions,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-ACTIVE-WAYPOINT,active_waypoint_index_,size_t,mission progress authority,0,advance on guarded measured acceptance,activeWaypoint/update/route snapshot,measured mission waypoint,activate/reset/mission completion,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-MISSION-REQUEST,request_id_,uint64,mission identity/version,0,advanceRequestId on accepted waypoint/goal,mission events and adapter goal publishing,current mission-side request id,activate/reset/new mission,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-NEXT-GOAL-TIME,next_goal_time_s_,double adapter ROS seconds; seconds,goal schedule time,0,goal scheduling/event path,mission update scheduling guard,next eligible goal/publication time,activate/reset/advance,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-HOLD-START,hold_start_time_s_,double adapter ROS seconds; seconds,dwell timer,0,measured STOP enters Holding,Holding dwell guard,terminal/waypoint dwell start,leave holding/reset,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-ARRIVAL-START,arrival_start_time_s_,optional adapter ROS seconds; seconds,confirmation timer,empty,measured STOP acceptance observation,terminal confirmation window guard,measured terminal arrival confirmation start,gate lost/reset/terminal transition,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-POSITION-CONTROL,pending_position_control_,bool,output request latch,false,trajectory failure/stop paths set; update consumes,mission update emits position-control event,deferred position-hold/control request,emit/clear/activate/deactivate,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-CHECKPOINT-VALID,checkpoint_valid_,bool,checkpoint latch,false,mission/trajectory validation,route/progress acceptance guards,route checkpoint may be used,reset/rejected route/lifecycle,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-TRAJECTORY-READY,trajectory_ready_,bool,readiness latch,false,accepted trajectory/status; safety/replacement/STOP resets,progression acceptance guard,"readiness for current trajectory role, not waypoint acceptance",replacement/failure/reset/lifecycle,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-TERMINAL-HOLD,terminal_hold_pending_,bool,terminal STOP latch,false,native terminal hold observation/STOP update; measured acceptance clears,STOP/coincident PASS-to-STOP guard,"terminal hold requires measured confirmation, not mission complete or Hold confirmed",confirmation/reset/lifecycle,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-PREV-POSITION,previous_position_,optional Eigen::Vector3d,measured history cache,empty,each finite MissionController::update,PASS_THROUGH segment crossing,previous measured point in mission update sequence,activate/deactivate/history reset,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-PREV-TIME,previous_position_time_s_,double seconds on adapter update clock,measurement time/cache,0,each finite MissionController::update,maximum gap/crossing guard,"adapter update time for prior point, not odometry source stamp",activate/deactivate/history reset,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-BRAKING-START,braking_start_time_s_,optional double adapter-clock seconds; seconds,phase timer,empty,safety trajectory/stop entry,Braking update duration/timeout,start of measured safety braking phase,stop complete/cancel/reset,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-BRAKING-END,braking_end_time_s_,optional double adapter-clock seconds; seconds,phase timer,empty,safety trajectory/stop entry,Braking update endpoint guard,expected end of safety braking phase,stop complete/cancel/reset,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
O-MISSION,px4_navigation_external_mode::MissionController,NavigationMode-owned controller for loaded mission,F-STOPPED-START,stopped_start_time_s_,optional double adapter-clock seconds; seconds,settling timer,empty,measured stopped recovery state,stopped confirmation/dwell guard,time stationary recovery began,movement/reset/acceptance,internal mutex; update and trajectory/status callbacks serialize state,ev-mission-fields;ev-mission-update;ev-mission-stop;ev-route-crossing;ev-mission-test
