Field,Cluster,Disposition,Target owner,Replacement / independent information,Confidence,Pinned source,Reason
NavigationRuntimeNode.pending_goal_owner_,DesiredMissionIntent,MOVE,MissionProgressShadow,mission intent identity,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:450,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.deferred_terminal_status_,ExecutionSafetyDisposition,MERGE,ExecutionAuthorityShadow,typed execution lifecycle,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:453,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.foreign_mission_hold_after_stop_,ExecutionSafetyDisposition,UNRESOLVED,ExecutionAuthorityShadow,typed execution lifecycle,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:457,Exact writer/reader or external-owner semantics not proved; do not delete at migration.
NavigationRuntimeNode.foreign_mission_cancel_pending_,ExecutionSafetyDisposition,UNRESOLVED,ExecutionAuthorityShadow,typed execution lifecycle,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:458,Exact writer/reader or external-owner semantics not proved; do not delete at migration.
NavigationRuntimeNode.foreign_cancel_target_epoch_,ExecutionSafetyDisposition,UNRESOLVED,ExecutionAuthorityShadow,typed execution lifecycle,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:459,Exact writer/reader or external-owner semantics not proved; do not delete at migration.
NavigationRuntimeNode.foreign_cancel_transition_epoch_,ExecutionSafetyDisposition,UNRESOLVED,ExecutionAuthorityShadow,typed execution lifecycle,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:460,Exact writer/reader or external-owner semantics not proved; do not delete at migration.
NavigationRuntimeNode.foreign_cancel_localization_epoch_,ExecutionSafetyDisposition,UNRESOLVED,ExecutionAuthorityShadow,typed execution lifecycle,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:461,Exact writer/reader or external-owner semantics not proved; do not delete at migration.
NavigationRuntimeNode.active_goal_epoch_,LocalizationEpoch,KEEP,domain boundary,localization identity witness,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:462,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.active_localization_epoch_,LocalizationEpoch,KEEP,domain boundary,localization identity witness,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:463,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.localization_epoch_ready_,LocalizationEpoch,KEEP,domain boundary,localization identity witness,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:464,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_registered_scan_epoch_,MeasuredStateHistory,KEEP,measurement boundary,measured state and estimator memory,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:465,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_registered_scan_sequence_,MeasuredStateHistory,KEEP,measurement boundary,measured state and estimator memory,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:466,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_propagated_state_stamp_ns_,MeasuredStateHistory,KEEP,measurement boundary,measured state and estimator memory,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:467,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_propagated_state_sequence_,MeasuredStateHistory,KEEP,measurement boundary,measured state and estimator memory,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:468,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.propagated_derivative_estimator_,MeasuredStateHistory,KEEP,measurement boundary,measured state and estimator memory,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:470,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.new_goal_,DesiredMissionIntent,DELETE,MissionProgressShadow,mission intent identity,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:471,Duplicated policy mirror or boolean lifecycle projection; replacement retains independent fact.
NavigationRuntimeNode.hot_goal_transition_,DesiredMissionIntent,DELETE,MissionProgressShadow,mission intent identity,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:475,Duplicated policy mirror or boolean lifecycle projection; replacement retains independent fact.
NavigationRuntimeNode.skip_replan_once_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:480,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.baseline_refinement_opportunity_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:482,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.plan_from_rest_first_failure_steady_ns_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:483,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.world_freshness_suspended_bundle_generation_,CommandLease,KEEP,Px4AuthorityShadow,receive lease or command witness,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:494,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.world_freshness_suspended_safety_suffix_active_,CommandLease,DERIVE,Px4AuthorityShadow,receive lease or command witness,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:495,Derived from canonical typed witness/value; requires equivalence test at migration.
NavigationRuntimeNode.command_execution_lease_failure_latch_,CommandLease,KEEP,Px4AuthorityShadow,receive lease or command witness,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:499,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_execution_boundary_rejection_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:504,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_execution_activation_generation_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:509,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_execution_activation_started_steady_ns_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:510,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_execution_activation_finished_steady_ns_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:511,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_execution_activation_result_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:512,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_command_sampled_generation_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:513,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_command_sampled_steady_ns_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:514,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_command_sampled_result_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:515,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_watchdog_generation_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:518,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_watchdog_event_steady_ns_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:519,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.command_id_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:523,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.execution_transaction_id_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:524,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.command_goal_epoch_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:525,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.accepting_observations_,RuntimeInfrastructure,KEEP,runtime boundary,"infrastructure, not authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:526,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.retained_decision_accounting_,Diagnostics,KEEP,diagnostic sink,observability only,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:534,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.planner_solve_generation_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:535,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.active_planner_solve_generation_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:536,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.timed_out_planner_solve_generation_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:537,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.planner_timeline_activation_generation_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:538,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.queued_planner_timeline_activations_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:540,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.planner_solve_started_steady_ns_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:542,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.trajectory_completion_witness_,TemporalStopConfirmation,KEEP,ExecutionAuthorityShadow,source-time stop confirmation,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:554,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.trajectory_reaches_goal_,TemporalStopConfirmation,DERIVE,ExecutionAuthorityShadow,source-time stop confirmation,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:555,Derived from canonical typed witness/value; requires equivalence test at migration.
NavigationRuntimeNode.terminal_bundle_generation_,TemporalStopConfirmation,KEEP,ExecutionAuthorityShadow,source-time stop confirmation,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:560,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_cycle_started_steady_ns_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:571,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_planning_timer_expected_steady_ns_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:574,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.last_planning_callback_start_steady_ns_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:575,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.observation_accounting_,Diagnostics,KEEP,diagnostic sink,observability only,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:580,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.end_to_end_samples_ms_,Diagnostics,KEEP,diagnostic sink,observability only,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:582,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.world_snapshot_store_,LatestWorld,KEEP,WorldModel,immutable latest world / worker object,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:584,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.command_bundle_store_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:585,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.command_sampler_,RuntimeInfrastructure,KEEP,runtime boundary,"infrastructure, not authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:586,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mapping_telemetry_,Diagnostics,KEEP,diagnostic sink,observability only,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:587,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mapping_lifecycle_observer_,LatestWorld,KEEP,WorldModel,immutable latest world / worker object,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:588,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.mapping_worker_,LatestWorld,KEEP,WorldModel,immutable latest world / worker object,CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:589,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.planner_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:590,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.planning_worker_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:591,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.heading_rebind_worker_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:592,Conservative cluster disposition; nested product implementation may stay in its boundary.
NavigationRuntimeNode.pending_heading_rebind_,WorkerBookkeeping,KEEP,computation worker,"worker lifecycle, no flight authority",CLUSTER_CONSERVATIVE,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:594,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.localization_epoch,LocalizationEpoch,KEEP,domain boundary,localization identity witness,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:42,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.goal_epoch,DesiredMissionIntent,MOVE,MissionProgressShadow,mission intent identity,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:46,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.request_id,DesiredMissionIntent,MOVE,MissionProgressShadow,mission intent identity,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:47,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.active_command_goal_epoch,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:48,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.active_command_request_id,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:49,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.active_generation,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:50,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.phase,ExecutionSafetyDisposition,MERGE,ExecutionAuthorityShadow,typed execution lifecycle,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:51,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.command_available,ExecutionSafetyDisposition,DERIVE,ExecutionAuthorityShadow,typed execution lifecycle,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:52,Derived from canonical typed witness/value; requires equivalence test at migration.
ExecutionEpisodeSnapshot.failure_latched,ExecutionSafetyDisposition,MERGE,ExecutionAuthorityShadow,typed execution lifecycle,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:53,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionEpisodeSnapshot.safety_suffix_active,ExecutionSafetyDisposition,DERIVE,ExecutionAuthorityShadow,typed execution lifecycle,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:54,Derived from canonical typed witness/value; requires equivalence test at migration.
ExecutionEpisodeSnapshot.restart_from_rest,ExecutionSafetyDisposition,DERIVE,ExecutionAuthorityShadow,typed execution lifecycle,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:55,Derived from canonical typed witness/value; requires equivalence test at migration.
ExecutionEpisodeSnapshot.recovery_state,ExecutionSafetyDisposition,MERGE,ExecutionAuthorityShadow,typed execution lifecycle,SOURCE_REVIEWED_CLUSTER,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:60,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionTimelineStore.active_goal_epoch_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,SOURCE_REVIEWED_CLUSTER,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:822,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionTimelineStore.timeline_version_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,SOURCE_REVIEWED_CLUSTER,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:823,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionTimelineStore.active_lineage_version_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,SOURCE_REVIEWED_CLUSTER,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:824,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionTimelineStore.last_transaction_id_,ExecutionTransactionBookkeeping,KEEP,transaction diagnostics,causal transaction evidence,SOURCE_REVIEWED_CLUSTER,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:825,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionTimelineStore.world_identity_,CertifiedWorldEvidence,KEEP,ExecutionAuthorityShadow,active certificate identity,SOURCE_REVIEWED_CLUSTER,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:826,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionTimelineStore.committed_,ActiveExecutionIdentity,MERGE,ExecutionAuthorityShadow,active trajectory identity / immutable context,SOURCE_REVIEWED_CLUSTER,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:827,Conservative cluster disposition; nested product implementation may stay in its boundary.
ExecutionTimelineStore.pending_,StagedExecution,MOVE,ExecutionAuthorityShadow,staged trajectory separate from active,SOURCE_REVIEWED_CLUSTER,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:828,Conservative cluster disposition; nested product implementation may stay in its boundary.
