id,object,name,type,initialization,meaning,scope,writers,readers,reset,clock_unit,identity,protection,roles,evidence
F_WAYPOINT,O_MISSION,active_waypoint_index_ / request_id_ / route_progress_,size_t + uint64 + RouteProgress,mission start/checkpoint on activate; request advances monotonically,PX4-side mission progression identity based on accepted measured evidence,mission lifecycle,activate/deactivate checkpoint; update accepted waypoint; retry failed goal,"update guard, goal publisher, command identity admission",reactivation resumes checkpoint and increments request; mission replacement constructs controller,seconds for internal retry/progress sample timing,mission id + waypoint index + request id + route revision,MissionController mutex; called under NavigationMode trajectory_mutex for cross-object linearization,authoritative control state; identity/version; deadline/counter,E_MISSION_FIELDS; E_MISSION_FLOW; E_MISSION_TEST
F_TRAJECTORY_READY,O_MISSION,trajectory_ready_,bool,false/reset on activation; on accepted trajectory set true,mode-side readiness latch gates mission progression and initial planner acquisition; does not prove command currently leased,mission request,onTrajectory/onNativeTrajectoryReady and failure/reset paths,MissionController::update and state transitions,"false on goal replacement, deactivation, error; set by admissible command trajectory",none,"current MissionController request, but NavigationCommand admission has separate correlation checks",MissionController mutex,latch; derived predicate,E_MISSION_FIELDS; E_MISSION_FLOW; E_MODE_ADMISSION
F_TERMINAL_HOLD,O_MISSION,terminal_hold_pending_ / pending_position_control_,bool pair,false; activated on STOP or safety fallback paths,"separate mission-level terminal settling and requested mode handover flags; neither equals measured stop, waypoint accepted, or mission complete",mission terminal/safety episode,onTrajectory role/kind transitions; update STOP/safety timeout; deactivate/reset,MissionController::update branch order; NavigationMode event handling,cleared only after measured confirmation or explicit lifecycle transition,confirmation/dwell seconds in MissionController timers,current mission waypoint/request,MissionController mutex under trajectory lock at mode boundary,latch; authoritative control state,E_MISSION_FIELDS; E_MISSION_FLOW; E_MODE_FIELDS
F_SUFFIX_HANDOFF,O_MODE,safety_suffix_handoff_pending_ + waypoint/request tuple,bool + tuple,false/zero; set when retaining a matching BACKUP command across waypoint handoff,PX4-side permission to admit exact old safety suffix while new goal is being planned; not the runtime pending-goal owner,one cross-process goal handoff,handleMissionEvent PublishGoal; onNavigationCommand accepted current command/reset/deactivate,"onNavigationCommand identity admission, updateMission suffix-stop decision","first accepted new-goal command, lifecycle reset, or safety handover",none,old backup waypoint/request plus new current request,trajectory_mutex_,latch; identity/version,E_MODE_FIELDS; E_MISSION_EVENT; E_MODE_ADMISSION
F_PLANNER_RECOVERY_MODE,O_MODE,planner_recovery_pending_ + deadline + identity,bool + ROS ns deadline + mission/wp/request/generation,false; timer starts on specific terminal/completed command recovery path,adapter-side bounded window waiting for fresh planner command after endpoint; separate from runtime ExecutionEpisode::StoppedRecovery,PX4 mode-side recovery episode,updateSetpoint completed command branch and clear/reset helper,"updateSetpoint fresh/stale command handling, updateMission timeout","fresh admissible command, lifecycle/handover, or timeout/failure",ROS ns; configured 5.0 s default,mode-side mission/wp/request/bundle generation,trajectory_mutex_,deadline/counter; latch; identity/version,E_MODE_FIELDS; E_SETPOINT
F_FRAME_ALIGNMENT,O_MODE,px4_local_frame_aligned_ / PX4 reset counters,bool + frame/reset snapshot,false; align from stationary paired LIO/PX4 observations,frame witness gates ENU-to-PX4 setpoint conversion and invalidates on PX4 reset,PX4 local frame epoch,tryAlignPx4LocalFrameLocked; onPx4LocalPosition reset detection; activate/deactivate,updateSetpoint coordinate conversion and safety checks,clear when PX4 XY/Z reset counter changes or mode lifecycle resets,PX4 reset counters and source/steady stamps,PX4 frame reset counters + localization epoch,trajectory_mutex_,latch; identity/version; transport snapshot/cache,E_MODE_FIELDS; E_FRAME
F_HANDOVER_MODE,O_MODE,handover_requested_ / mission_terminal_ / failure_reported_,bools,false on activation,NavigationMode terminal/failure handover gate; command arrival cannot reopen mission after terminal handover,mode activation,"mission Complete/RequestPositionControl, failNavigation, deactivate/activate","command admission, setpoint, mission timer",on activate; set terminal/failure independently by events,none,mission and current request,trajectory_mutex_ for compound snapshots,authoritative control state; latch,E_MODE_FIELDS; E_MISSION_EVENT; E_MODE_ADMISSION
F_HOLD_EXECUTOR,O_EXECUTOR,px4_hold_confirmed_ / hold_handover_pending_ / hold_handover_in_flight_,bool triplet + attempts/retry time,false/0 on executor activate,"API scheduling, API completion, and observed VehicleStatus AUTO_LOITER are distinct; vehicle status is confirmation",paired mode executor lifetime,"request callback, schedulePx4Hold/API result, VehicleStatus callback, lifecycle reset",50 ms timer retry predicate,confirmed AUTO_LOITER clears pending/in-flight; activation/deactivation clears all,"steady ns retry timestamp, 250 ms after API failure","held vehicle mode, no mission bundle id",executor callbacks/timer; serialization from PX4 executor not inferred beyond source,latch; deadline/counter,E_HOLD; E_PX4_MAIN
F_COMMAND_LEASE,O_TIMELINE,CandidateBundle.valid_from_ns / valid_until_ns + NavigationCommand.valid_until,ROS time nanoseconds,assigned on candidate export/commit and each command emission; message stream lease is now+100 ms by default,candidate validity and emitted stream validity are distinct windows; receipt time and source state freshness are independently checked,bundle and command sample,planner candidate export; publishCommand message builder,commit/activation/publishIfCurrent; NavigationMode commandContractValidAt/updateSetpoint,expires by clock; no lease extension from stale sample; bounded recovery exceptions are identity-specific,ROS ns; source and steady receive clocks also used,bundle generation and command sample id,immutable bundle + store lock; mode cache mutex,deadline/counter; derived predicate,E_CANDIDATE; E_PUBLISH; E_COMMAND_CONTRACT; E_SETPOINT
F_EPISODE_PHASE,O_EPISODE,ExecutionEpisodeSnapshot::phase / command_available / active_generation / safety_suffix_active / restart_from_rest,mutex-protected snapshot fields,"reset to InitialHold, unavailable, no active generation; beginGoal may retain an existing command","lifecycle, active authority and restart latch co-owned with recovery_state; more authoritative than free-standing mirror flags",one physical execution episode,reset/beginGoal; commandCommitted; observeSampledSafetyRole; stoppedHold/requestRestartFromRest; failClosed,"planning admission, sample policy, candidate commit, final exposure and diagnostics",exact generation/goal identity mutations; reset/failClosed clear ownership,none,"localization_epoch, goal_epoch, request_id, active_generation",ExecutionEpisode mutex; compound runtime transitions also lock localization/input/lease transition,authoritative control state; latch; identity/version,E_EPISODE_SNAPSHOT; E_EPISODE
F_PLANNING_KEY,O_PLANNER,PlanningKey identity tuple,"separate uint64 counters, enum start mode, int64 anchor stamp",invalid zero counters; formed per schedulePlanningCycle snapshot,"localization epoch, goal epoch, request id, route revision, committed bundle generation, world generation/revision, start mode, anchor stamp and dynamics hash are distinct; none can substitute for another",one solve request/result attribution,currentPlanningKey snapshots runtime state,"worker dedup/cancel, PlanningRequest validity, candidate output and commit recheck",new state/request/world/anchor forms a new key; old result rejected by current key checks,anchor_stamp_ns in ROS time; no epoch unit conflation,all listed tuple components are independent fields,captured immutable value; inputs copied under runtime locks,identity/version; deadline/counter,E_REQUEST; E_SCHEDULE
F_WORLD_IDENTITY,O_WORLD,WorldSnapshotIdentity::localization_epoch/generation/revision/observation_stamp_ns,uint64 epoch/generation/revision + int64 observation time,set by mapping snapshot publication,world version and freshness witness separate from goal/request/bundle identity,one immutable world snapshot,mapping worker/store publication,"planning request, recertification, candidate admission, activation, publish freshness gate",new observation/revision/generation replaces snapshot; epoch change invalidates prior lineage,observation_stamp_ns ROS time,"localization epoch, world generation and revision, source observation stamp",immutable snapshot identity; WorldSnapshotStore synchronization,identity/version; deadline/counter; transport snapshot/cache,E_WORLD_ID; E_TIMELINE; E_CANDIDATE
F_EXEC_STATE_LEASE,O_RUNTIME,ExecutionStateStore::state_ / ExecutionStateLease::ingress_sequence,shared_ptr<const ExecutionStateLease>,empty; first accepted finite KinematicState establishes active epoch,latest immutable propagated state; monotonic source time and exact epoch gate publication; separate receive steady stamp and ingress sequence do not replace source-time freshness,runtime execution state cache,onPropagatedOdometry -> ExecutionStateStore::publish; resetForLocalizationEpoch,"PlanningKey, candidate anchor, emergency check, publishCommand final lease gate",epoch reset clears exact cached lease,KinematicState source_stamp_ns in ROS clock; receive stamp steady clock,localization epoch + ingress sequence; sequence is not freshness,ExecutionStateStore mutex and immutable shared snapshot,transport snapshot/cache; identity/version; deadline/counter,E_EXEC_STATE_STORE; E_EXEC_STATE_LEASE; E_PROPAGATED
F_RUNTIME_TERMINAL_WITNESS,O_RUNTIME,trajectory_completion_witness_ / trajectory_reaches_goal_ / terminal_bundle_generation_,optional witness + atomic bool + uint64 generation,no witness / false / zero,terminal sampling and goal endpoint lineage; endpoint sample alone does not mean mission accepted or complete,one candidate generation and goal request,publishCommand only after matching completed sample; lifecycle/recovery/epoch reset clears,"currentPlanningKey terminal suppression, stopped hold predicate, terminal monitor admission","identity mismatch, goal/epoch change, new request/recovery clears",witness source stamp and bundle valid window in ROS ns,active goal and exact terminal bundle generation,witness under transition locks; atomics use acquire/release,latch; identity/version; derived predicate,E_RUNTIME_LEASE_FIELDS; E_PUBLISH_END; E_RECOVERY_USE
F_NEW_GOAL,O_RUNTIME,new_goal_,bool,false,request transition marker used by planner/terminal guard while desired and executing goals may differ,goal handoff interval,applyValidatedGoalLocked and commit/activation cleanup,"currentPlanningKey, commit, terminal monitor and retained callback predicates",cleared after admitted successor cutover or rejected/invalidated request path,none,active goal and execution goal tuple,input_mutex_,latch; derived predicate,E_HANDOFF_FLAGS; E_SCHEDULE; E_COMMIT
F_HOT_GOAL,O_RUNTIME,hot_goal_transition_,bool,false,retarget planner through committed-future successor path while prior command remains active,same-mission pass-through request handoff,applyValidatedGoalLocked; activation/fail/reset paths,"currentPlanningKey start mode, candidate stage/commit, terminal monitor",cleared at matching successor activation or fail-closed reset,none,desired request distinct from executing predecessor,input_mutex_ and command transition lock,latch; derived predicate,E_HANDOFF_FLAGS; E_SCHEDULE; E_ACTIVATION
F_SKIP_REPLAN,O_RUNTIME,skip_replan_once_,atomic_bool,false,"one scheduler renewal suppressed after a stopped-state successful plan; a mirror, not recovery owner",next planning timer cycle,successful stopped-state plan; consume/reset in scheduler,schedulePlanningCycle only,consumed by one planning scheduler pass or explicit reset,one timer cycle,current goal identity indirectly via runtime guard,atomic; runtime transition sets related state,derived predicate; latch,E_HANDOFF_FLAGS; E_SCHEDULE
F_FOREIGN_HOLD,O_RUNTIME,foreign_mission_hold_after_stop_ / foreign_mission_cancel_pending_,bool + atomic bool + target epoch tuple,false/false/zero,foreign mission change is treated as authority violation; moving certified suffix drains before fail-closed hold/cancel,foreign mission handoff,transitionForeignMissionLocked; measured stop consume path,"goal admission, stopped-recovery branch, worker cancellation guard",clear after target epoch cancellation consumed or lifecycle reset,none,"foreign target, transition and localization epoch",localization/input/command lock order plus atomics,authoritative control state; latch; identity/version,E_RUNTIME_FIELDS; E_GOAL; E_RECOVERY_USE
F_TRACKING_EXPERIMENT,O_MODE,tracking_experiment_ / TrackingExperimentPolicy,policy with enabled/suppress flags and numeric coefficients,loaded from parameters; enabled=use_sim_time; suppress_braking=use_sim_time && !trackingGateEnabled(); suppress_estimator_health_response=suppress_braking; default config coefficients are zero,conditional experiment policy affects runtime tracking validation and mode geometric-tracking/health response; zero coefficients disable adaptive envelope but under use_sim_time=true cause suppress flags to be true,"process configuration/launch profile, constant for process lifetime",loadTrackingExperimentPolicy during both runtime and PX4 mode construction,runtime retained/transition tracking validation; mode command admission and health check; optional velocity-only setpoint branch,construction only; no dynamic update found,coefficients are metres/seconds; use_sim_time selects simulated profile,process launch parameters and use_sim_time; does not alter goal or bundle ID,immutable after construction; used in callbacks,authoritative control policy; derived predicate; profile gate,E_TRACKING_POLICY; E_TRACKING_CONFIG; E_EXTERNAL_MODE_CONFIG; E_TRACKING_RUNTIME; E_TRACKING_MODE_BYPASS
F_RUNTIME_TRACKING_EXPERIMENT,O_RUNTIME,tracking_experiment_ / TrackingExperimentPolicy,policy with enabled/suppress flags and numeric coefficients,loaded from parameters; enabled=use_sim_time; suppress_braking=use_sim_time && !trackingGateEnabled(); the mapping.yaml coefficients are zero,runtime experiment policy changes transition and retained-command tracking acceptance when enabled; this is a separate process-local copy from PX4 mode policy,runtime process configuration lifetime,loadTrackingExperimentPolicy in NavigationRuntimeNode construction,"runCycle transition/path tracking, retained validation and emergency pressure calculations",constructor-only immutable process policy,coefficients are metres/seconds; use_sim_time selects simulated policy,runtime parameter file and use_sim_time launch argument,immutable after construction,authoritative control policy; derived predicate; profile gate,E_TRACKING_POLICY; E_TRACKING_CONFIG; E_LAUNCH_DEFAULT; E_TRACKING_RUNTIME; E_RUNTIME_TRACKING_GATE; E_EXPERIMENTAL_TRACKING_HELPER
