Field,Current owner,Semantic meaning,Writer(s),Reader(s),Lifetime,Invalidation,Independent info?,Can derive?,Target action,Target owner,Replacement,Equivalence evidence,Category,Type,Source,Blob
NavigationRuntimeNode.data_freshness_window_s_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,double,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:394,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.data_freshness_window_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:395,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_stream_timeout_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:396,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_watchdog_timeout_s_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,double,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:397,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_watchdog_timeout_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:398,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.inject_failed_replan_cycle_id_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,test/diagnostic control,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:402,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.inject_failed_replan_once_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,test/diagnostic control,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:403,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.inject_failed_replan_when_safe_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,test/diagnostic control,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:404,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.inject_failed_replan_after_handoff_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,test/diagnostic control,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:405,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.inject_failed_replan_repeated_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,test/diagnostic control,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:406,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.inject_failed_plan_from_rest_repeated_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,test/diagnostic control,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:407,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.same_identity_renewal_injection_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,test/diagnostic control,SameIdentityRenewalInjectionController,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:408,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.dynamics_hash_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:409,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_dynamic_limits_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,navigation_planning::DynamicLimits,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:410,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.registered_scan_subscription_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:413,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.estimator_health_subscription_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:415,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.propagated_odometry_subscription_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:417,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.goal_subscription_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::Subscription<navigation_contracts::msg::NavigationGoal>::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:418,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.status_subscription_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:420,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_publisher_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::Publisher<navigation_contracts::msg::NavigationCommand>::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:421,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.diagnostics_publisher_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::Publisher<diagnostic_msgs::msg::DiagnosticArray>::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:422,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planning_timer_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::TimerBase::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:423,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_timer_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::TimerBase::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:424,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planning_callback_group_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::CallbackGroup::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:425,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_callback_group_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::CallbackGroup::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:426,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.propagated_state_callback_group_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,rclcpp::CallbackGroup::SharedPtr,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:427,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.input_mutex_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::mutex,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:429,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.localization_epoch_ingress_mutex_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::mutex,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:432,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.localization_transition_mutex_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::mutex,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:433,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.execution_state_store_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,navigation_execution::ExecutionStateStore,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:434,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.execution_episode_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,ExecutionEpisode,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:435,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.active_goal_,NavigationRuntimeNode,desired goal,goal/reset callbacks,planning key/admission/command guard,desired goal,new goal/reset,yes: desired intent,no,KEEP,MissionIntent,desired goal,navigation_runtime_node.hpp:429-463; .cpp:3006-3015; target equivalence pending,behavioral candidate,std::optional<navigation_contracts::msg::NavigationGoal>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:436,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_start_position_world_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<Eigen::Vector3d>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:440,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_start_mission_id_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:441,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_start_route_revision_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:442,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_start_localization_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:443,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.executing_goal_,NavigationRuntimeNode,executing goal may lag desired,commit/cutover/reset paths,command publication/exact identity,active execution,cutover/revoke/reset,yes: executing intent,possibly from active bundle plus route payload; proof pending,KEEP,ExecutionAuthority,executing goal may lag desired,navigation_runtime_node.hpp:444-450; .cpp:8595-8615; target equivalence pending,behavioral candidate,std::optional<navigation_contracts::msg::NavigationGoal>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:447,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.pending_goal_owner_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,PendingGoalHandoffOwner,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:450,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.deferred_terminal_status_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<navigation_contracts::msg::NavigationGoal>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:453,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_mission_hold_after_stop_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:457,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_mission_cancel_pending_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:458,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_cancel_target_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:459,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_cancel_transition_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:460,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_cancel_localization_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:461,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.active_goal_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:462,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.active_localization_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:463,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.localization_epoch_ready_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:464,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_registered_scan_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:465,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_registered_scan_sequence_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:466,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_propagated_state_stamp_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:467,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_propagated_state_sequence_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:468,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.propagated_derivative_mutex_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,source declaration only; transition proof pending,infrastructure/config,std::mutex,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:469,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.propagated_derivative_estimator_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,KinematicDerivativeEstimator,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:470,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.new_goal_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:471,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.hot_goal_transition_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:475,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.skip_replan_once_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:480,bcd4235d7abe5dcef8730a751760b130f745cac2
